id,pid,create_time,creator
0,-1,nan,-1
1,0,34.439594,39
2,1,140.251281,34
3,2,-1.000000,23
4,3,-1.000000,19
5,4,744.791586,32
6,5,824.243287,28
7,6,892.809015,3
8,7,942.015501,22
9,8,1075.539277,37
10,9,-1.000000,48
11,10,1213.997041,28
12,11,-1.000000,24
13,12,-1.000000,11
14,13,1455.136279,3
15,14,1645.978192,46
16,15,-1.000000,13
17,2,-1.000000,23
18,16,1774.325389,28
19,18,1801.794665,46
20,19,1864.156355,6
21,20,-1.000000,10
22,21,1934.993701,3
23,22,-1.000000,4
24,23,1942.544834,9
25,24,1985.489410,34
26,25,1993.076438,20
27,26,-1.000000,18
28,27,-1.000000,12
29,28,-1.000000,31
30,29,2260.179105,36
31,20,2362.129144,10
32,30,2482.209736,20
33,32,2558.587519,5
34,33,2647.459337,30
35,34,-1.000000,34
36,35,2675.789215,46
37,36,2734.821137,21
38,37,-1.000000,29
39,38,2805.458316,37
40,39,2877.769185,20
41,40,3154.041756,37
42,22,-1.000000,4
43,22,-1.000000,4
44,15,-1.000000,13
45,41,3426.751612,3
46,45,-1.000000,47
47,46,3622.051964,22
48,26,-1.000000,18
49,47,3705.911504,3
50,49,3721.870083,30
51,50,-1.000000,38
52,45,-1.000000,47
53,51,4008.259256,36
54,53,4125.532042,39
55,9,-1.000000,48
56,54,4511.984109,39
57,3,-1.000000,19
58,56,4571.949441,3
59,58,4764.551033,43
60,2,-1.000000,23
61,11,-1.000000,24
62,2,-1.000000,23
63,59,4952.285676,17
64,63,4979.163373,43
65,64,5028.652661,28
66,45,-1.000000,47
67,65,5211.729421,21
68,26,-1.000000,18
69,67,5274.027175,21
70,45,-1.000000,47
71,2,-1.000000,23
72,37,-1.000000,29
73,2,-1.000000,23
74,22,-1.000000,4
75,2,-1.000000,23
76,69,5907.922798,37
77,15,-1.000000,13
78,34,-1.000000,34
79,27,-1.000000,12
80,37,-1.000000,29
81,50,-1.000000,38
82,76,6377.846815,17
83,82,6410.536363,9
84,83,6423.780479,3
85,84,6478.070229,3
86,85,6558.741256,32
87,22,-1.000000,4
88,50,-1.000000,38
89,12,-1.000000,11
90,86,6986.483396,27
91,45,-1.000000,47
92,90,7230.096765,6
93,26,-1.000000,18
94,50,-1.000000,38
95,92,7339.260395,28
96,95,-1.000000,26
97,96,7507.194070,1
98,97,7540.980928,5
99,11,-1.000000,24
100,37,-1.000000,29
101,98,7858.940187,32
102,101,8064.515891,43
103,102,8115.252131,27
104,103,8133.316325,20
105,95,-1.000000,26
106,95,-1.000000,26
107,22,-1.000000,4
108,104,8440.897528,46
109,108,8779.310054,36
110,37,-1.000000,29
111,31,8931.128691,10
112,109,8964.328335,3
113,112,9088.743327,6
114,113,9159.342998,28
115,50,-1.000000,38
116,114,-1.000000,16
117,3,-1.000000,19
118,27,-1.000000,12
119,116,-1.000000,15
120,119,9635.664169,17
121,15,-1.000000,13
122,120,9774.874077,17
123,122,9927.058597,6
124,114,-1.000000,16
125,3,-1.000000,19
126,123,10154.024395,27
127,126,10339.173996,20
128,127,10513.419905,20
129,95,-1.000000,26
130,128,10642.459335,5
131,130,-1.000000,14
132,131,10673.870177,1
133,132,10720.664670,36
134,37,-1.000000,29
135,133,10910.448797,5
136,135,10969.415161,5
137,136,10971.978647,6
138,9,-1.000000,48
139,137,11027.061791,43
140,139,11034.256893,20
141,9,-1.000000,48
142,22,-1.000000,4
143,140,11214.997201,6
144,27,-1.000000,12
145,143,11329.858208,43
146,145,11441.766585,20
147,146,11597.715372,1
148,147,11622.875570,9
149,148,11735.667382,3
150,149,11764.448224,37
151,150,11841.158756,21
152,22,-1.000000,4
153,151,12043.273404,37
154,116,-1.000000,15
155,153,12252.332866,17
156,155,12441.366664,32
157,15,-1.000000,13
158,156,12588.935510,17
159,158,12670.232568,36
160,159,12772.095763,45
161,28,-1.000000,31
162,50,-1.000000,38
163,160,13076.401811,46
164,111,13113.247189,10
165,163,13281.253323,22
166,165,13436.432094,6
167,166,13604.173348,17
168,167,13926.080123,43
169,26,-1.000000,18
170,168,13994.939380,21
171,170,14079.848911,46
172,171,14412.949143,3
173,172,14517.904845,46
174,28,-1.000000,31
175,173,14559.703517,27
176,164,14660.882588,10
177,175,14915.186420,40
178,27,-1.000000,12
179,177,14933.024953,22
180,179,14938.798951,5
181,50,-1.000000,38
182,180,15345.630258,32
183,176,15388.392295,10
184,95,-1.000000,26
185,11,-1.000000,24
186,182,15614.295565,39
187,186,15644.776550,27
188,50,-1.000000,38
189,26,-1.000000,18
190,187,15719.810111,32
191,37,-1.000000,29
192,3,-1.000000,19
193,9,-1.000000,48
194,190,-1.000000,46
195,194,15953.368337,32
196,195,16052.759906,36
197,45,-1.000000,47
198,196,16317.330085,17
199,12,-1.000000,11
200,198,-1.000000,43
