id,pid,create_time,creator
0,-1,nan,-1
1,0,1.352694,45
2,1,2.837623,90
3,2,5.187429,21
4,3,6.322197,23
5,3,6.712970,69
6,4,7.820805,78
7,6,9.929446,22
8,6,11.440434,27
9,6,11.618351,57
10,7,12.346078,32
11,7,12.904925,89
12,7,13.034002,13
13,10,14.293338,28
14,13,17.827203,2
15,14,20.758398,33
16,15,22.269126,64
17,15,22.336969,95
18,15,22.687169,11
19,15,22.809058,81
20,15,23.066972,5
21,16,24.126817,93
22,16,24.270525,96
23,16,24.814940,73
24,22,24.901533,86
25,21,25.158131,74
26,21,25.292974,47
27,16,25.426218,18
28,21,25.940481,11
29,26,26.669841,48
30,25,26.725933,39
31,26,27.449322,10
32,30,27.657951,6
33,32,29.255394,93
34,33,30.117175,11
35,33,30.126068,7
36,33,30.756038,45
37,33,30.883369,45
38,35,34.619966,57
39,34,34.643772,43
40,39,36.612287,32
41,39,37.078033,71
42,39,37.447823,86
43,41,38.600652,45
44,43,40.959117,3
45,43,41.560885,93
46,44,42.265539,88
47,46,43.496757,85
48,47,47.232213,7
49,48,48.943764,3
50,48,48.951292,10
51,48,49.028702,53
52,48,49.471406,89
53,51,51.278059,33
54,53,54.587444,63
55,54,56.851990,84
56,54,57.837227,53
57,55,58.892312,49
58,55,59.144456,72
59,55,59.557243,23
60,55,60.079067,37
61,57,62.066372,74
62,57,62.150504,99
63,57,62.760734,85
64,57,63.000768,32
65,61,64.117287,16
66,62,65.385544,25
67,65,65.497862,99
68,67,68.244997,40
69,68,68.860219,93
70,67,69.507554,29
71,69,71.701426,7
72,69,71.937145,96
73,69,72.069470,14
74,69,72.145769,57
75,72,75.468558,72
76,75,76.664191,5
77,71,76.923059,8
78,76,82.751271,98
79,78,84.013143,31
80,76,84.450274,69
81,78,85.595816,83
82,79,89.077291,93
83,79,89.374485,53
84,79,91.219497,29
85,82,91.287014,83
86,82,91.739786,7
87,82,91.820301,8
88,82,91.843056,21
89,88,94.361608,95
90,88,95.967308,97
91,89,96.155877,16
92,86,96.288216,8
93,91,105.681199,25
94,91,108.082610,25
95,93,108.680897,70
96,93,109.029927,30
97,93,109.736050,17
98,93,110.091875,78
99,95,110.609920,52
100,96,110.922921,99
101,95,110.968112,49
102,99,112.686353,63
103,100,113.456281,69
104,102,114.800934,78
105,102,115.990119,21
106,104,117.433758,90
107,104,117.650320,53
108,104,117.697886,19
109,106,120.073051,45
110,106,120.532141,17
111,110,122.027396,72
112,111,125.580854,84
113,111,125.708683,33
114,111,125.992659,29
115,111,127.089943,27
116,112,129.643698,55
117,116,131.666756,11
118,116,132.573866,11
119,116,133.384092,18
120,117,134.141228,16
121,120,136.121718,30
122,117,136.734295,29
123,121,137.608745,60
124,121,138.922367,81
125,123,139.855544,51
126,125,142.098405,40
127,126,143.413314,48
128,127,145.279410,47
129,128,147.120511,86
130,129,150.224912,24
131,130,152.485638,10
132,131,157.310764,99
133,132,160.197126,98
134,132,160.229426,68
135,132,160.497737,5
136,132,160.689716,37
137,134,161.782459,78
138,134,162.253637,74
139,133,162.530444,73
140,133,162.951240,95
141,137,163.101599,30
142,141,166.050113,19
143,141,167.790497,48
144,143,169.403636,7
145,142,169.598632,0
146,144,172.076379,48
147,146,174.676847,74
148,146,174.854490,92
149,146,174.880532,63
150,146,175.192599,28
151,146,175.425269,2
152,146,175.466067,25
153,146,176.233482,32
154,147,178.219587,14
155,147,178.935275,77
156,155,179.792729,52
157,155,180.067178,87
158,147,180.092705,25
159,156,181.204385,49
160,159,184.024147,98
161,160,185.834377,11
162,160,186.524251,87
163,161,188.013542,7
164,160,188.366512,19
165,163,189.271119,20
166,163,190.514032,56
167,165,191.497576,90
168,165,192.248688,49
169,167,193.285378,27
170,167,193.468129,27
171,167,193.542412,98
172,167,193.624834,96
173,167,193.641139,16
174,167,194.214347,61
175,172,194.668549,62
176,172,195.298147,44
177,175,200.857801,17
178,177,201.819052,55
179,177,202.110613,72
180,177,202.536800,23
181,177,202.669501,77
182,178,202.935811,68
183,177,204.016824,67
184,182,204.932965,95
185,182,205.433929,10
186,184,207.046724,50
187,186,207.676584,77
188,186,207.928152,71
189,187,209.213995,25
190,187,209.631582,60
191,187,209.999768,29
192,189,212.137044,71
193,192,218.854462,67
194,192,219.145466,0
195,192,220.755399,67
196,194,221.260062,3
197,193,223.196525,14
198,196,224.166751,91
199,198,227.656800,28
200,198,228.768324,84
201,198,228.933048,67
202,200,230.843877,59
203,200,231.432289,41
204,202,233.311294,48
205,204,234.595507,71
206,205,236.975650,44
207,205,238.567394,8
208,206,238.863346,98
209,208,239.350539,70
210,206,239.460041,11
211,209,242.640765,13
212,209,243.013907,95
213,211,244.434735,88
214,213,246.478769,41
215,214,247.637273,52
216,215,249.459583,12
217,216,251.679638,68
218,217,252.681105,84
219,216,253.369481,60
220,218,254.093265,40
221,218,254.654176,72
222,217,254.814282,14
223,220,254.910381,98
224,220,255.404339,73
225,220,255.652229,22
226,223,258.997536,19
227,224,259.435017,98
228,223,260.221675,51
229,227,260.290795,90
230,224,260.942586,28
231,227,261.027653,68
232,223,261.104525,69
233,227,261.382800,92
234,227,262.008109,57
235,229,262.384406,31
236,235,267.108252,10
237,236,268.758680,37
238,235,269.288787,19
239,237,274.884128,54
240,239,276.974088,3
241,239,277.860203,51
242,240,279.202704,47
243,239,279.560640,14
244,241,279.763191,7
245,242,280.203103,48
246,240,280.291893,69
247,242,280.568980,13
248,245,281.635459,11
249,247,282.602072,68
250,248,284.078443,53
251,248,285.045769,28
252,250,285.675560,23
253,252,287.515236,52
254,252,287.564077,16
255,252,287.785882,11
256,253,289.642870,60
257,256,291.089375,96
258,255,291.090786,69
259,256,292.655446,14
260,257,295.105565,71
261,260,297.246198,32
262,260,297.660152,21
263,260,299.911398,69
264,262,300.669560,25
265,264,304.487354,39
266,264,304.547536,2
267,264,306.323496,69
268,265,311.040476,28
269,266,311.809311,91
270,269,313.050901,42
271,270,317.943798,28
272,270,318.536513,67
273,270,318.716512,98
274,273,323.521133,80
275,274,325.755062,21
276,274,325.876059,12
277,276,327.450600,78
278,277,330.137964,24
279,278,333.106521,11
280,279,338.288614,29
281,279,338.719133,9
282,279,338.801281,49
283,279,339.589535,63
284,282,340.292010,87
285,284,341.705763,98
286,285,342.876930,95
287,286,344.193645,13
288,286,344.314409,21
289,286,345.495579,17
290,287,345.749183,96
291,290,346.372058,44
292,291,350.382182,69
293,291,350.674755,43
294,291,351.352488,4
295,293,353.724702,70
296,295,355.121763,42
297,295,355.409641,77
298,295,355.455746,41
299,295,355.621089,41
300,297,356.223850,98
301,295,356.913233,57
302,300,357.317316,63
303,302,361.955601,0
304,302,362.237524,13
305,303,362.434748,20
306,305,364.924569,93
307,305,364.984217,43
308,305,365.948331,68
309,307,370.397129,31
310,306,370.849263,33
311,309,372.422816,89
312,309,374.920520,52
313,309,375.884964,69
314,311,376.120013,99
315,311,376.334846,3
316,311,376.343404,86
317,311,376.813993,31
318,314,377.800220,25
319,314,378.234198,0
320,316,378.912045,13
321,319,380.036324,78
322,321,381.312602,40
323,322,385.220544,56
324,322,385.519408,74
325,322,385.544200,45
326,325,387.405807,12
327,324,387.743784,57
328,326,389.420882,87
329,328,390.616255,12
330,328,390.895477,55
331,329,391.899820,31
332,331,392.529591,5
333,332,394.007171,2
334,333,394.891355,40
335,334,395.487990,61
336,335,399.580307,27
337,335,399.594933,42
338,335,400.360182,19
339,337,401.461783,43
340,339,403.398475,18
341,339,404.002247,10
342,340,405.313522,16
343,340,406.195219,19
344,342,406.212206,32
345,344,409.120563,20
346,345,411.102088,13
347,346,412.214849,40
348,346,412.996493,44
349,347,414.612394,16
350,347,415.246635,37
351,349,415.250943,39
352,351,418.256864,5
353,351,418.335932,31
354,351,418.378255,73
355,351,418.531162,93
356,351,419.121724,97
357,352,419.578929,14
358,355,420.629559,16
359,357,422.196864,57
360,357,422.809158,84
361,360,424.062794,0
362,361,426.547772,45
363,361,426.928871,37
364,362,428.344871,54
365,362,428.406823,85
366,362,429.109313,60
367,364,430.367625,16
368,364,430.378236,33
369,364,430.661202,55
370,367,431.881653,24
371,369,431.970161,8
372,369,432.699527,10
373,367,432.845151,97
374,371,437.045084,54
375,374,439.480093,43
376,375,440.746254,69
377,375,441.221672,4
378,376,443.941020,67
379,378,446.790180,64
380,379,447.703664,77
381,379,448.316076,83
382,380,449.553479,46
383,382,450.445039,23
384,382,450.513082,41
385,382,450.917408,86
386,384,451.254883,22
387,384,451.326485,13
388,387,452.764368,61
389,388,454.703234,43
390,388,455.245211,0
391,389,459.236695,60
392,391,461.892688,41
393,391,462.351845,29
394,392,463.411752,48
395,392,463.477581,71
396,394,468.494221,30
397,396,474.822410,46
398,396,475.385703,33
399,396,475.533196,21
400,397,476.800176,45
401,400,479.092191,42
402,400,479.122130,30
403,402,480.173707,24
404,401,480.512711,27
405,403,480.640192,21
406,405,483.272920,55
407,406,485.289156,10
408,407,486.492082,56
409,408,487.683410,45
410,408,487.837437,38
411,410,488.603667,25
412,411,491.974453,10
413,411,492.884325,0
414,412,493.417372,75
415,412,494.001615,37
416,414,495.238946,63
417,416,495.915457,48
418,417,497.668924,7
419,417,498.390323,10
420,418,499.844170,8
421,418,500.463083,42
422,420,501.569553,99
423,422,502.581867,28
424,423,506.364577,12
425,424,507.462241,67
426,425,509.093626,13
427,425,509.473033,88
428,425,509.528576,12
429,426,514.226414,71
430,429,516.101308,24
431,429,516.316890,32
432,430,517.192365,63
433,432,519.756442,3
434,432,520.205611,5
435,432,520.818980,5
436,433,524.760133,33
437,434,524.936279,52
438,436,529.501945,71
439,438,531.836937,44
440,439,534.764331,98
441,440,536.322877,65
442,440,536.757266,61
443,441,540.017957,57
444,443,541.422641,85
445,443,541.691170,98
446,443,541.911792,49
447,444,543.762634,44
448,444,543.808656,2
449,448,544.756563,91
450,448,544.883118,91
451,449,546.512121,19
452,449,546.553202,6
453,451,547.968468,30
454,453,549.562823,55
455,454,550.746054,24
456,454,550.970489,8
457,455,552.522169,21
458,455,553.086450,21
459,457,555.470820,31
460,457,556.076561,69
461,459,556.927156,92
462,459,556.956826,60
463,459,557.080807,85
464,463,557.729177,13
465,464,559.703031,53
466,465,561.412638,49
467,465,561.438094,96
468,466,563.404192,99
469,467,563.897620,49
470,469,565.509194,75
471,468,565.734901,16
472,471,566.995851,77
473,471,567.404413,95
474,471,567.913767,27
475,472,568.662994,64
476,475,569.316240,93
477,476,570.670984,11
478,476,571.525243,86
479,477,572.541250,17
480,477,573.033496,48
481,479,575.549732,54
482,481,579.775283,4
483,482,581.910688,7
484,483,582.917290,55
485,484,583.734715,85
486,485,585.316394,57
487,485,585.916690,98
488,485,586.340721,39
489,486,586.487255,46
490,485,586.574554,89
491,486,586.774883,93
492,489,587.436015,99
493,489,588.260422,53
494,492,588.841875,47
495,494,591.507456,73
496,494,592.086568,39
497,495,592.895372,52
498,497,593.898340,97
499,497,594.278511,96
500,497,594.451544,14
